year,Fixed Cost,Net Energy + AS Revenue,Gen Cap Value,GHG Cost,GHG Value,Resource,Vintage
2035,73820,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2030
2036,73820,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2030
2037,73820,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2030
2038,73820,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2030
2039,73820,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2030
2040,73820,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2030
2041,73820,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2030
2042,73820,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2030
2043,73820,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2030
2044,73820,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2030
2045,73820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2030
2046,73820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2030
2047,73820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2030
2048,73820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2030
2049,73820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2030
2031,72930,26915.93175,33306.5661412959,0.0,12707.502041810001,generic_battery_4hr,2031
2032,72930,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2031
2033,72930,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2031
2034,72930,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2031
2035,72930,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2031
2036,72930,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2031
2037,72930,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2031
2038,72930,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2031
2039,72930,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2031
2040,72930,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2031
2041,72930,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2031
2042,72930,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2031
2043,72930,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2031
2044,72930,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2031
2045,72930,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2031
2046,72930,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2031
2047,72930,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2031
2048,72930,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2031
2049,72930,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2031
2050,72930,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2031
2032,72100,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2032
2033,72100,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2032
2034,72100,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2032
2035,72100,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2032
2036,72100,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2032
2037,72100,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2032
2038,72100,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2032
2039,72100,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2032
2040,72100,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2032
2041,72100,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2032
2042,72100,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2032
2043,72100,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2032
2044,72100,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2032
2045,72100,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2032
2046,72100,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2032
2047,72100,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2032
2048,72100,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2032
2049,72100,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2032
2050,72100,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2032
2051,72100,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2032
2033,71010,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2033
2034,71010,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2033
2035,71010,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2033
2036,71010,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2033
2037,71010,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2033
2038,71010,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2033
2039,71010,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2033
2040,71010,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2033
2041,71010,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2033
2042,71010,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2033
2043,71010,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2033
2044,71010,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2033
2045,71010,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2033
2046,71010,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2033
2047,71010,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2033
2048,71010,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2033
2049,71010,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2033
2050,71010,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2033
2051,71010,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2033
2052,71010,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2033
2034,70430,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2034
2035,70430,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2034
2036,70430,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2034
2037,70430,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2034
2038,70430,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2034
2039,70430,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2034
2040,70430,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2034
2041,70430,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2034
2042,70430,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2034
2043,70430,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2034
2044,70430,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2034
2045,70430,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2034
2046,70430,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2034
2047,70430,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2034
2048,70430,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2034
2049,70430,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2034
2050,70430,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2034
2051,70430,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2034
2052,70430,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2034
2053,70430,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2034
2035,69490,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2035
2036,69490,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2035
2037,69490,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2035
2038,69490,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2035
2039,69490,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2035
2040,69490,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2035
2041,69490,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2035
2042,69490,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2035
2043,69490,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2035
2044,69490,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2035
2045,69490,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2035
2046,69490,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2035
2047,69490,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2035
2048,69490,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2035
2049,69490,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2035
2050,69490,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2035
2051,69490,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2035
2052,69490,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2035
2053,69490,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2035
2054,69490,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2035
2036,68820,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2036
2037,68820,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2036
2038,68820,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2036
2039,68820,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2036
2040,68820,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2036
2041,68820,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2036
2042,68820,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2036
2043,68820,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2036
2044,68820,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2036
2045,68820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2036
2046,68820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2036
2047,68820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2036
2048,68820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2036
2049,68820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2036
2050,68820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2036
2051,68820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2036
2052,68820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2036
2053,68820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2036
2054,68820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2036
2055,68820,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2036
2037,68260,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2037
2038,68260,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2037
2039,68260,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2037
2040,68260,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2037
2041,68260,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2037
2042,68260,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2037
2043,68260,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2037
2044,68260,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2037
2045,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
2046,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
2047,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
2048,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
2049,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
2050,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
2051,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
2052,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
2053,68260,57659.4228,7808.879484,0.0,76798.82821555527,generic_battery_4hr,2037
