resource,vintage,Fixed Cost,Gen Cap Value,GHG Cost,GHG Value,Net Energy + AS Revenue,Total Value,% of Cost Recovery
generic_solar,2033,1031086.0511655769,63776.71938700448,0.0,637756.5276961375,334058.6147391846,1035591.8618223267,1.0043699656800287
generic_solar,2034,961897.6963051076,62587.72950449397,0.0,598091.6648724382,312085.40493510064,972764.7993120328,1.0112975663094614
generic_solar,2035,896008.6314755878,61433.370395260456,0.0,559080.1180161918,290710.90212014486,911224.390531597,1.0169817103557932
generic_solar,2036,831878.1193815444,60474.96625927034,0.0,514744.7057459884,266736.159765339,841955.8317705977,1.0121144097365435
generic_solar,2037,773123.6097835789,59702.081554082026,0.0,474731.7731963978,245208.94669871152,779642.8014491913,1.0084322760075033
generic_solar,2038,722072.9551972356,59104.72234673142,0.0,439100.13806016144,226119.29613706,724324.1565439529,1.0031176923751457
generic_solar,2039,675943.3002718305,58673.319541243785,0.0,407857.9656577649,209412.01931301717,675943.3045120258,1.0000000062730043
generic_solar,2040,634415.4759057952,58398.71253591441,0.0,380991.088858264,195025.6786636584,634415.4800578367,1.0000000065446726
generic_solar,2041,598752.7337643057,58272.133546723424,0.0,358473.254224942,183276.826080415,600022.2138520804,1.0021202075851805
generic_solar,2042,567011.3890794059,58285.19256362852,0.0,338737.4810942976,173077.5926315407,570100.2662894669,1.005447645796103
generic_solar,2043,534622.0736762392,57851.154250206935,0.0,321824.89429634885,164378.0172522737,544054.0657988295,1.0176423544537412
generic_solar,2044,512060.9893693195,56996.05205352451,0.0,307704.71850807325,157114.62153805053,521815.3920996483,1.019049298682844
generic_solar,2045,490360.6036615694,55744.78217724571,0.0,296345.32819573645,151225.42654619121,503315.5369191734,1.0264191967316874
